,seq,is_true,is_ignore,crop_path,original_path,x0,x1,y0,y1,col
19,1,False,False,..\cropped_images\aachen_000014_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000014_000019_leftImg8bit.png,2032,2048,60,94,r
20,2,True,False,..\cropped_images\aachen_000014_000019_rT_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000014_000019_leftImg8bit.png,552,572,338,372,r
21,3,False,False,..\cropped_images\aachen_000014_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000014_000019_leftImg8bit.png,1254,1274,412,446,r
22,4,False,False,..\cropped_images\aachen_000014_000019_gF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000014_000019_leftImg8bit.png,1962,2008,360,476,g
23,0,True,False,..\cropped_images\aachen_000031_000019_gT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000031_000019_leftImg8bit.png,1892,1919,264,320,g
24,0,False,True,..\cropped_images\aachen_000035_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000035_000019_leftImg8bit.png,26,46,300,334,r
25,1,True,False,..\cropped_images\aachen_000035_000019_rT_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000035_000019_leftImg8bit.png,896,916,322,356,r
26,2,False,False,..\cropped_images\aachen_000035_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000035_000019_leftImg8bit.png,1115,1165,988,1024,r
27,3,True,False,..\cropped_images\aachen_000035_000019_rT_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000035_000019_leftImg8bit.png,23,73,288,405,r
28,0,False,False,..\cropped_images\aachen_000044_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000044_000019_leftImg8bit.png,580,600,46,80,r
29,1,True,False,..\cropped_images\aachen_000044_000019_rT_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000044_000019_leftImg8bit.png,766,786,392,426,r
30,2,False,False,..\cropped_images\aachen_000044_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000044_000019_leftImg8bit.png,680,700,444,478,r
31,3,False,False,..\cropped_images\aachen_000044_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000044_000019_leftImg8bit.png,1948,1968,538,572,r
32,0,False,False,..\cropped_images\aachen_000045_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,1798,1818,128,162,r
33,1,False,False,..\cropped_images\aachen_000045_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,1792,1812,152,186,r
34,2,True,False,..\cropped_images\aachen_000045_000019_rT_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,6,26,310,344,r
35,3,False,False,..\cropped_images\aachen_000045_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,1336,1356,480,514,r
36,4,False,False,..\cropped_images\aachen_000045_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,988,1008,482,516,r
37,5,False,False,..\cropped_images\aachen_000045_000019_gF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,1808,1835,88,144,g
38,6,False,False,..\cropped_images\aachen_000045_000019_gF_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,1782,1809,112,168,g
39,7,False,True,..\cropped_images\aachen_000045_000019_rF_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,1795,1845,120,237,r
40,8,True,False,..\cropped_images\aachen_000045_000019_rT_00008.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,3,53,300,417,r
41,9,False,False,..\cropped_images\aachen_000045_000019_rF_00009.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,975,1025,468,585,r
42,10,False,False,..\cropped_images\aachen_000045_000019_rF_00010.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000045_000019_leftImg8bit.png,1321,1363,485,587,r
43,0,True,False,..\cropped_images\aachen_000046_000019_rT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1108,1128,256,290,r
44,1,False,False,..\cropped_images\aachen_000046_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,74,94,276,310,r
45,2,False,False,..\cropped_images\aachen_000046_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,998,1018,354,388,r
46,3,False,False,..\cropped_images\aachen_000046_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1120,1140,480,514,r
47,4,False,False,..\cropped_images\aachen_000046_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1136,1156,480,514,r
48,5,False,False,..\cropped_images\aachen_000046_000019_rF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1520,1540,482,516,r
49,6,False,False,..\cropped_images\aachen_000046_000019_gF_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,16,43,68,124,g
50,7,True,False,..\cropped_images\aachen_000046_000019_gT_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,648,675,334,390,g
51,8,False,False,..\cropped_images\aachen_000046_000019_gF_00008.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1124,1151,438,494,g
52,9,False,False,..\cropped_images\aachen_000046_000019_gF_00009.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1524,1551,442,498,g
53,10,False,False,..\cropped_images\aachen_000046_000019_rF_00010.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1899,1949,244,361,r
54,11,False,False,..\cropped_images\aachen_000046_000019_rF_00011.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1119,1169,460,577,r
55,12,False,False,..\cropped_images\aachen_000046_000019_rF_00012.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1521,1563,469,571,r
56,13,False,False,..\cropped_images\aachen_000046_000019_rF_00013.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000046_000019_leftImg8bit.png,1121,1163,469,571,r
57,0,False,False,..\cropped_images\aachen_000047_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000047_000019_leftImg8bit.png,419,469,424,541,r
58,0,False,False,..\cropped_images\aachen_000050_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000050_000019_leftImg8bit.png,664,684,262,296,r
59,1,False,False,..\cropped_images\aachen_000050_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000050_000019_leftImg8bit.png,1382,1402,412,446,r
60,0,True,False,..\cropped_images\aachen_000054_000019_rT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,700,720,282,316,r
61,1,True,False,..\cropped_images\aachen_000054_000019_rT_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,794,814,372,406,r
62,2,True,False,..\cropped_images\aachen_000054_000019_rT_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,802,822,396,430,r
63,3,False,False,..\cropped_images\aachen_000054_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,1032,1052,402,436,r
64,4,False,False,..\cropped_images\aachen_000054_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,566,586,410,444,r
65,5,False,False,..\cropped_images\aachen_000054_000019_rF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,544,564,424,458,r
66,6,False,False,..\cropped_images\aachen_000054_000019_rF_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,586,606,426,460,r
67,7,False,False,..\cropped_images\aachen_000054_000019_rF_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000054_000019_leftImg8bit.png,1076,1096,430,464,r
68,0,False,False,..\cropped_images\aachen_000057_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000057_000019_leftImg8bit.png,974,994,460,494,r
69,1,False,False,..\cropped_images\aachen_000057_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000057_000019_leftImg8bit.png,1024,1044,462,496,r
70,2,False,False,..\cropped_images\aachen_000057_000019_gF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000057_000019_leftImg8bit.png,1316,1343,290,346,g
71,0,True,False,..\cropped_images\aachen_000061_000019_rT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,104,124,290,324,r
72,1,False,False,..\cropped_images\aachen_000061_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1742,1762,302,336,r
73,2,False,False,..\cropped_images\aachen_000061_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1070,1090,462,496,r
74,3,False,False,..\cropped_images\aachen_000061_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1151,1201,448,565,r
75,4,False,False,..\cropped_images\aachen_000061_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1338,1358,478,512,r
76,5,False,False,..\cropped_images\aachen_000061_000019_rF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1516,1536,482,516,r
77,6,True,False,..\cropped_images\aachen_000061_000019_gT_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1672,1699,328,384,g
78,7,False,False,..\cropped_images\aachen_000061_000019_rF_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1063,1113,456,573,r
79,8,False,False,..\cropped_images\aachen_000061_000019_rF_00008.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1335,1385,468,585,r
80,9,False,False,..\cropped_images\aachen_000061_000019_rF_00009.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1503,1553,472,589,r
81,10,False,False,..\cropped_images\aachen_000061_000019_rF_00010.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1855,1905,480,597,r
82,11,False,False,..\cropped_images\aachen_000061_000019_rF_00011.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000061_000019_leftImg8bit.png,1505,1547,485,587,r
83,0,False,False,..\cropped_images\aachen_000065_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1310,1330,162,196,r
84,1,False,True,..\cropped_images\aachen_000065_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1692,1712,260,294,r
85,2,True,False,..\cropped_images\aachen_000065_000019_rT_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,119,169,264,381,r
86,3,False,False,..\cropped_images\aachen_000065_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1456,1476,296,330,r
87,4,False,False,..\cropped_images\aachen_000065_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1502,1522,298,332,r
88,5,False,False,..\cropped_images\aachen_000065_000019_rF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1526,1546,298,332,r
89,6,False,False,..\cropped_images\aachen_000065_000019_rF_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,682,702,414,448,r
90,7,False,False,..\cropped_images\aachen_000065_000019_rF_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,714,734,414,448,r
91,8,False,False,..\cropped_images\aachen_000065_000019_rF_00008.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,758,778,414,448,r
92,9,False,False,..\cropped_images\aachen_000065_000019_gF_00009.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1460,1487,254,310,g
93,10,False,False,..\cropped_images\aachen_000065_000019_gF_00010.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1374,1401,256,312,g
94,11,False,False,..\cropped_images\aachen_000065_000019_gF_00011.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1410,1437,256,312,g
95,12,False,False,..\cropped_images\aachen_000065_000019_gF_00012.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1504,1531,276,332,g
96,13,False,False,..\cropped_images\aachen_000065_000019_rF_00013.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1323,1373,152,269,r
97,14,True,False,..\cropped_images\aachen_000065_000019_rT_00014.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1683,1733,240,357,r
98,15,False,False,..\cropped_images\aachen_000065_000019_rF_00015.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,1467,1517,280,397,r
99,16,False,False,..\cropped_images\aachen_000065_000019_rF_00016.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000065_000019_leftImg8bit.png,707,757,404,521,r
100,0,True,False,..\cropped_images\aachen_000069_000019_gT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000069_000019_leftImg8bit.png,1044,1071,210,266,g
101,1,True,False,..\cropped_images\aachen_000069_000019_gT_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000069_000019_leftImg8bit.png,676,703,336,392,g
102,2,True,False,..\cropped_images\aachen_000069_000019_gT_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000069_000019_leftImg8bit.png,1184,1211,336,392,g
103,3,False,False,..\cropped_images\aachen_000069_000019_gF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000069_000019_leftImg8bit.png,1052,1079,354,410,g
104,0,False,False,..\cropped_images\aachen_000071_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,550,570,444,478,r
105,1,False,False,..\cropped_images\aachen_000071_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,860,880,466,500,r
106,2,False,False,..\cropped_images\aachen_000071_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,674,694,468,502,r
107,3,False,False,..\cropped_images\aachen_000071_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,862,882,482,516,r
108,4,False,False,..\cropped_images\aachen_000071_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,256,276,530,564,r
109,5,True,False,..\cropped_images\aachen_000071_000019_gT_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,694,721,198,254,g
110,6,True,False,..\cropped_images\aachen_000071_000019_gT_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,974,1001,334,390,g
111,7,False,False,..\cropped_images\aachen_000071_000019_gF_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,134,161,420,476,g
112,8,False,False,..\cropped_images\aachen_000071_000019_rF_00008.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,547,597,436,553,r
113,9,False,False,..\cropped_images\aachen_000071_000019_rF_00009.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,855,905,460,577,r
114,10,False,False,..\cropped_images\aachen_000071_000019_rF_00010.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,659,709,464,581,r
115,11,False,False,..\cropped_images\aachen_000071_000019_rF_00011.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,255,305,516,633,r
116,12,True,False,..\cropped_images\aachen_000071_000019_gT_00012.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,690,736,152,268,g
117,13,False,False,..\cropped_images\aachen_000071_000019_rF_00013.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,665,707,461,563,r
118,14,False,False,..\cropped_images\aachen_000071_000019_rF_00014.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000071_000019_leftImg8bit.png,857,899,461,563,r
119,0,False,False,..\cropped_images\aachen_000072_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000072_000019_leftImg8bit.png,1164,1184,394,428,r
120,1,False,False,..\cropped_images\aachen_000072_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000072_000019_leftImg8bit.png,992,1012,452,486,r
121,2,False,False,..\cropped_images\aachen_000072_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000072_000019_leftImg8bit.png,1083,1133,440,557,r
122,3,True,False,..\cropped_images\aachen_000072_000019_gT_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000072_000019_leftImg8bit.png,1180,1207,342,398,g
123,4,False,False,..\cropped_images\aachen_000072_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000072_000019_leftImg8bit.png,987,1037,436,553,r
124,0,False,False,..\cropped_images\aachen_000074_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000074_000019_leftImg8bit.png,396,416,412,446,r
125,1,False,False,..\cropped_images\aachen_000074_000019_rF_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000074_000019_leftImg8bit.png,527,577,400,517,r
126,2,False,False,..\cropped_images\aachen_000074_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000074_000019_leftImg8bit.png,1522,1542,448,482,r
127,3,False,False,..\cropped_images\aachen_000074_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000074_000019_leftImg8bit.png,1604,1624,448,482,r
128,4,True,False,..\cropped_images\aachen_000074_000019_gT_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000074_000019_leftImg8bit.png,1322,1349,292,348,g
129,5,False,False,..\cropped_images\aachen_000074_000019_gF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000074_000019_leftImg8bit.png,1600,1627,420,476,g
130,0,False,True,..\cropped_images\aachen_000080_000019_gF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000080_000019_leftImg8bit.png,1982,2028,132,248,g
131,0,True,False,..\cropped_images\aachen_000081_000019_rT_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000081_000019_leftImg8bit.png,1292,1312,332,366,r
132,1,True,False,..\cropped_images\aachen_000081_000019_rT_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000081_000019_leftImg8bit.png,662,682,340,374,r
133,2,False,False,..\cropped_images\aachen_000081_000019_rF_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000081_000019_leftImg8bit.png,1370,1390,398,432,r
134,3,False,False,..\cropped_images\aachen_000081_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000081_000019_leftImg8bit.png,1648,1668,430,464,r
135,4,False,False,..\cropped_images\aachen_000081_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000081_000019_leftImg8bit.png,1650,1670,458,492,r
136,5,False,False,..\cropped_images\aachen_000081_000019_rF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000081_000019_leftImg8bit.png,1736,1756,564,598,r
137,6,False,False,..\cropped_images\aachen_000081_000019_rF_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000081_000019_leftImg8bit.png,1735,1818,507,685,r
138,0,False,True,..\cropped_images\aachen_000084_000019_rF_00000.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,1498,1518,248,282,r
139,1,True,False,..\cropped_images\aachen_000084_000019_rT_00001.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,272,292,256,290,r
140,2,True,False,..\cropped_images\aachen_000084_000019_rT_00002.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,1688,1708,292,326,r
141,3,False,False,..\cropped_images\aachen_000084_000019_rF_00003.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,175,225,456,573,r
142,4,False,False,..\cropped_images\aachen_000084_000019_rF_00004.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,1254,1274,508,542,r
143,5,False,False,..\cropped_images\aachen_000084_000019_rF_00005.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,1251,1301,996,1024,r
144,6,False,False,..\cropped_images\aachen_000084_000019_gF_00006.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,1274,1301,452,508,g
145,7,False,False,..\cropped_images\aachen_000084_000019_gF_00007.png,..\traffic_lights\leftImg8bit_trainvaltest\train\aachen\aachen_000084_000019_leftImg8bit.png,1476,1503,460,516,g
